mass_mjup,age_myr,t_int_k,req_rjup,metallicity_solar_dex,f560w_jy_10pc,f770w_jy_10pc,f1000w_jy_10pc,f1130w_jy_10pc,f1280w_jy_10pc,f1500w_jy_10pc,f1800w_jy_10pc,f2100w_jy_10pc,f2550w_jy_10pc,f1065c_jy_10pc,f1140c_jy_10pc,f1550c_jy_10pc,f2300c_jy_10pc
5.237827573302386,1.0,1874.94032989,2.0345467799613943,0.0,,,,,,,,,,,,,
5.237827573302386,1.2663801700000001,1823.08243696,1.9281956273708947,0.0,,,,,,,,,,,,,
5.237827573302386,1.60371874,1732.64901073,1.8335394786549544,0.0,0.017969553112689798,0.013093245670724946,0.013425729538711554,0.01089414673162107,0.008225666393573404,0.005578841707711938,0.0038992968484488325,0.0029240056919106125,0.002000757750135893,0.012390617225672142,0.01092269962448828,0.005137479230468588,0.0024740013942181217
5.237827573302386,2.03091762,1653.70755165,1.7535245394309853,0.0,0.014168801131005214,0.01061456216077169,0.011331321193526618,0.009276835004753396,0.006992165833840291,0.004704056128259605,0.0032852544990877443,0.0024567171731778525,0.001682020156455645,0.010448440185533045,0.009306777659525384,0.004324070032370149,0.002078027583520493
5.237827573302386,2.5719138100000003,1581.35242589,1.681430276856152,0.0,0.011392676582352917,0.008734813581367127,0.009632099896073366,0.007978875792104727,0.006020621205980954,0.0040310718494922715,0.0028152279314466013,0.0021016319863552237,0.001440739688074015,0.0088668111930831,0.008009653682349464,0.0037010947477577466,0.0017778826020009913
5.237827573302386,3.2570206600000002,1506.66497045,1.6170879526380575,0.0,0.009130515639685125,0.007157361299318152,0.008162466015082899,0.0068597657961789885,0.005191313781173863,0.0034644172075742503,0.0024219221924336315,0.001805228451677794,0.0012395870880984672,0.007494383568130335,0.006891088106748125,0.0031787082943751303,0.0015277011446889436
5.237827573302386,4.1246263800000005,1422.19847697,1.5602177959631847,0.0,0.007175359231220314,0.005733343531559537,0.006815319905523914,0.0058444796719267274,0.004449120946757637,0.0029637436675112473,0.002075685400679394,0.0015445302756301488,0.0010630077035818104,0.006221597119010018,0.005876323261334802,0.002717601434738481,0.001307740518769797
5.237827573302386,5.22334507,1344.41040902,1.5104671496391207,0.0,0.0057079124708148184,0.004588508712803119,0.005724074559571105,0.005011380473146646,0.0038474458480764868,0.0025656619122481246,0.001801711035972027,0.0013387520648731705,0.000923492498121689,0.005185967572659227,0.005043067285930133,0.002351707429258474,0.0011342206555014903
5.237827573302386,6.61474064,1271.09422614,1.4659724967688692,0.0,0.004580101311940885,0.003665355886429154,0.004830877201489296,0.0043152053189511935,0.003347903720141272,0.0022413035502210415,0.001578649610294129,0.001171258839926652,0.0008096272031329446,0.004336621841787087,0.004346081905194395,0.002054103143187825,0.0009928729618309201
5.237827573302386,8.3767764,1198.57480504,1.4258854749342584,0.0,0.0036976032743176184,0.002927538914653785,0.004088667612296581,0.003727700160835281,0.0029269098079155362,0.0019716717187383656,0.0013934427770328978,0.0010324268573976502,0.0007149606435644186,0.0036351365795828667,0.0037572314648491242,0.0018071971588481178,0.0008757421317947966
5.237827573302386,10.6081836,1129.78888854,1.3899928744474908,0.0,0.003013836531094388,0.002333498363745727,0.0034774825715792896,0.003239005253569991,0.0025750448875069515,0.001749842172135697,0.001242162925193885,0.0009186456813030356,0.0006371802058090182,0.003056820497437663,0.0032672383845745293,0.0016046336936068383,0.0007795531594593845
5.237827573302386,13.433993300000001,1064.71260066,1.357703916662004,0.0,0.0024774334250440705,0.001881153767504566,0.0029902260600392348,0.002834758514531128,0.0022801631565323114,0.0015644900414605064,0.0011152972483794337,0.0008229714888156864,0.0005712942695814064,0.0025968262755585816,0.0028613405834903953,0.0014353847873853891,0.0006984842408472084
5.237827573302386,17.0125428,1001.46600966,1.328335376923292,0.0,0.0020141272474756815,0.0015050162068981788,0.0025608294172517637,0.0024727827840072027,0.0020125210517428025,0.0013965909615555104,0.0010005853380759214,0.000736519018419262,0.0005113987048964056,0.002196609719082543,0.0024975360788746623,0.0012822251739556486,0.0006250770703962275
5.237827573302386,21.5443469,941.19094504,1.3016860148687965,0.0,0.0016053356738447583,0.0011906634238827223,0.002181392170764186,0.0021486082968337652,0.0017654332425277326,0.001238756365149389,0.0008940780537697382,0.0006565847654375987,0.00045573688949699737,0.0018465481507764353,0.0021717869474566697,0.001137578761303239,0.0005570102512627852
5.237827573302386,27.2833338,881.09107168,1.2776812898226375,0.0,0.0012650297781871367,0.0009372343142114108,0.001858483587224967,0.0018648840924811508,0.0015454195430870139,0.0010966569696105924,0.0007977745152182506,0.0005840527184660108,0.00040520878078178894,0.001547162337443184,0.0018867768486221517,0.001007091111977909,0.000495332718959732
