age_myr,mass_mjup,req_rjup,t_int_k,metallicity_solar_dex,f560w_jy_10pc,f770w_jy_10pc,f1000w_jy_10pc,f1280w_jy_10pc,f1500w_jy_10pc,f1800w_jy_10pc,f2100w_jy_10pc,f2550w_jy_10pc
1.584893192461114,2.001079786461907,1.285,977.679,0.4,0.003264286558530555,0.002384770949882218,0.003144511983096306,0.0023306855733643897,0.0017276168652829986,0.001327124658851779,0.0010503620392578817,0.0007501120045946413
1.9952623149688788,2.001079786461907,1.273,944.19,0.4,0.0029770647241436654,0.002154997013809301,0.0029211459351231876,0.0021651285558084415,0.0016498612978308577,0.0012673942099296776,0.0010123694187496057,0.0007229797209970716
2.5118864315095824,2.001079786461907,1.26,908.555,0.4,0.002641120868250189,0.001894290898841692,0.0026641167561728017,0.00199289165198444,0.0015468472695436377,0.0011992554995353,0.0009579415650511655,0.0006841102789213035
3.1622776601683795,2.001079786461907,1.248,871.762,0.4,0.0023003201129191022,0.0016347324089305917,0.002385356274787405,0.0017843649667447906,0.0014369691188883633,0.0011140680482292751,0.0008898955144318986,0.0006413958060640803
3.981071705534969,2.001079786461907,1.236,833.835,0.4,0.00198512691044608,0.0013978052673503394,0.0021161831600301226,0.0015976575201043582,0.0013226576101033245,0.0010254434578965287,0.0008266830206534734,0.0005903724950159634
5.011872336272725,2.001079786461907,1.224,795.592,0.4,0.0016818539390781432,0.001184258942129333,0.001860172647404812,0.001417371474138239,0.0012062780771708145,0.0009438689916779501,0.0007539438755474531,0.0005384261147121503
6.30957344480193,2.001079786461907,1.212,758.139,0.4,0.0013989051748115211,0.0009941379955953665,0.0016502633475737472,0.001245901440481298,0.0011001386816571874,0.0008608187513422232,0.0006876049867652802,0.0004865484751979786
7.943282347242822,2.001079786461907,1.201,720.773,0.4,0.0011528910738511,0.0008268879682128526,0.0014506186412180356,0.0010951754199350948,0.0009941397407010647,0.0007778784116206879,0.0006156572777658266,0.000439669273553042
10.0,2.001079786461907,1.19,682.975,0.4,0.0009327994400522854,0.0006752221379311393,0.001251852768362036,0.0009538579153783271,0.000890117695856341,0.0007029294172809751,0.0005512378341657016,0.0003900552393409436
12.589254117941662,2.001079786461907,1.18,645.112,0.4,0.0007341558719230982,0.0005463194628345454,0.0010606039838241146,0.0008231589185892183,0.0007896732653003308,0.000629378232901694,0.0004935589341498383,0.0003460398506082242
15.848931924611142,2.001079786461907,1.17,607.417,0.4,0.0005620672444882993,0.00043395697450888157,0.0008660705161834673,0.0006974028020231131,0.0006941405811383592,0.0005583566831645653,0.00043384941650075943,0.00030417682040542445
19.952623149688787,2.001079786461907,1.161,568.658,0.4,0.00041094932999122486,0.0003291900293899486,0.0006816371533412572,0.0005800743845883151,0.0005935365049938412,0.0004908080969246607,0.0003813634060181089,0.00026492693548173414
25.118864315095824,2.001079786461907,1.152,531.074,0.4,0.0002869381386336754,0.0002406836963800462,0.0005218590917427146,0.0004693358057888289,0.0004982501464809006,0.0004235568587163141,0.00032910843829697304,0.00022653020387697922
31.62277660168379,2.001079786461907,1.144,496.952,0.4,0.00020034950635962,0.0001743599246614763,0.0003922412408053717,0.000372806682105139,0.00041442642078941207,0.00036890260221808166,0.0002840135221393773,0.0001954907063671112
39.81071705534969,2.001079786461907,1.137,466.06,0.4,0.0001411849085026135,0.00012866092597269482,0.0002921145935123187,0.0002961308736899911,0.0003478943976091616,0.00031835503192961643,0.00024736543683858255,0.00017026528742054901
50.118723362727245,2.001079786461907,1.13,436.553,0.4,9.767609232846427e-05,9.49394415275785e-05,0.00021956001616068089,0.000233068557336439,0.00029204342632716093,0.00027727564149000104,0.00021544628889998575,0.0001496670214773452
63.09573444801929,2.001079786461907,1.123,410.343,0.4,6.883166526766385e-05,7.005621550929466e-05,0.00016201426469218032,0.00018175387882717146,0.00024515877072767736,0.00024149698811950672,0.00018938213911073965,0.00013156068190559795
79.43282347242821,2.001079786461907,1.116,389.251,0.4,4.986413351174045e-05,5.217310366062037e-05,0.00012065720314513481,0.0001430486250916787,0.00020962710422096456,0.0002103350837361463,0.000166471164563939,0.00011779479910995039
100.0,2.001079786461907,1.11,372.067,0.4,3.747902433780457e-05,3.9577346456619704e-05,8.985727706425213e-05,0.00011362756184880855,0.00018090369397320328,0.00018488927468358248,0.00014905241523055878,0.00010546931268804224
125.89254117941661,2.001079786461907,1.103,357.439,0.4,2.8959314454150898e-05,3.114918389598669e-05,6.943097341711295e-05,9.27862639061952e-05,0.00015901842038032924,0.00016402563159687798,0.0001346911365801325,9.618915639091229e-05
158.48931924611108,2.001079786461907,1.095,344.367,0.4,2.2792306513595824e-05,2.520267695299611e-05,5.464535530237105e-05,7.646869663475059e-05,0.0001410741476651887,0.00014822167566948702,0.0001228397765262481,8.853726780731393e-05
199.52623149688827,2.001079786461907,1.087,332.07,0.4,1.79385888789658e-05,2.0770486677323908e-05,4.3807982611936454e-05,6.419241104616367e-05,0.00012631282114935072,0.00013394043921296944,0.00011203120769599614,8.2248145770328e-05
251.1886431509582,2.001079786461907,1.079,319.901,0.4,1.411849085026132e-05,1.7117749738152382e-05,3.511989866125834e-05,5.3392921887929845e-05,0.00011205917868012207,0.00011992554995353001,0.00010311907714677012,7.64057627956111e-05
316.22776601683796,2.001079786461907,1.07,307.525,0.4,1.0809068689667694e-05,1.3978052673503365e-05,2.7136463846082856e-05,4.359971876900983e-05,9.850254127740267e-05,0.00010639267263823283,9.404571610223263e-05,7.03276516446947e-05
398.10717055349687,2.001079786461907,1.061,294.624,0.4,8.049859061341642e-06,1.1103161905026961e-05,2.0024111462769926e-05,3.4000373506419966e-05,8.422624418085661e-05,9.352155487482397e-05,8.420522054881918e-05,6.473305683876551e-05
501.18723362727144,2.001079786461907,1.052,281.405,0.4,5.778142879770083e-06,8.50054308047497e-06,1.411085256003959e-05,2.5555459132595263e-05,7.135878306012159e-05,7.996716851068016e-05,7.470316765486728e-05,5.903724950159634e-05
630.9573444801943,2.001079786461907,1.042,268.536,0.4,4.109493299912241e-06,6.3892027908730325e-06,9.496274373176455e-06,1.8513293571878833e-05,5.8270324288497425e-05,6.712923819996988e-05,6.566576644722108e-05,5.384261147121503e-05
794.3282347242821,2.001079786461907,1.033,256.303,0.4,2.869381386336748e-06,4.758243606132526e-06,6.159610548863966e-06,1.3046189663857045e-05,4.71462804256177e-05,5.532376383238205e-05,5.772168729206531e-05,4.9105045280976944e-05
1000.0,2.001079786461907,1.023,244.258,0.4,1.9488942609640557e-06,3.4789378691785654e-06,3.8864515149433915e-06,8.699287580304682e-06,3.6766089075070026e-05,4.476223044389365e-05,4.9812577873965697e-05,4.437374832526464e-05
1258.925411794166,2.001079786461907,1.013,231.967,0.4,1.2876216690785584e-06,2.4742676257201147e-06,2.2990756093236607e-06,5.539667366227874e-06,2.7634234272335282e-05,3.490693511432919e-05,4.220258154383704e-05,3.973069076580725e-05
1584.8931924611109,2.001079786461907,1.004,219.464,0.4,8.50723200272809e-07,1.7276138326368684e-06,1.2869250487309167e-06,3.3688656208446658e-06,2.001923303601638e-05,2.623685159193779e-05,3.47807560022204e-05,3.428673381885499e-05
1995.2623149688827,2.001079786461907,0.994,206.458,0.4,5.672679886689848e-07,1.1734015908866598e-06,6.691958731787783e-07,1.90319675238915e-06,1.372294854880141e-05,1.8832662293626878e-05,2.762733651761966e-05,2.8518463019964245e-05
1.0,0.5002699466154767,1.297,588.325,0.8,0.0007687555722098752,0.0006752221379311393,0.0011522673445368591,0.0008540507687703418,0.0009581807356256924,0.0008145386917205118,0.0006813009863546076,0.0005001797623321058
1.258925411794166,0.5002699466154767,1.282,568.614,0.8,0.0006335607681867889,0.0005773599739477469,0.0010128689412568295,0.0007438471235729667,0.0008500558002292899,0.0007360574600996931,0.0006156572777658266,0.00045198717899795366
1.584893192461114,0.5002699466154767,1.267,548.371,0.8,0.0005126114194202361,0.00048022710921451873,0.0008740841680040873,0.0006478637611256146,0.0007472181889642417,0.0006590399151931911,0.0005461840553248773,0.0004009831432121129
1.9952623149688788,0.5002699466154767,1.252,528.072,0.8,0.00041094932999122486,0.0003921449916330726,0.000740548069399339,0.0005694868338681616,0.0006568216130851643,0.000584671222936628,0.0004845504683607396,0.00035573460622650424
2.5118864315095824,0.5002699466154767,1.237,507.725,0.8,0.00032047066142651566,0.000317282904613661,0.0006216604723549341,0.0004960022972585357,0.0005773609874430423,0.0005186945904938158,0.0004298718611420403,0.00031269872888906524
3.1622776601683795,0.5002699466154767,1.223,487.244,0.8,0.00024762145817704676,0.0002520267695299616,0.0005170746588314077,0.00043199994144675765,0.0005075133083021466,0.0004601630243681573,0.0003778670452958527,0.00027486922367788504
3.981071705534969,0.5002699466154767,1.208,466.802,0.8,0.00018784008526913454,0.0002001919789439979,0.000422234051077986,0.000372806682105139,0.0004461156255889214,0.000408236393585781,0.00033522702098523575,0.0002416162367966853
5.011872336272725,0.5002699466154767,1.194,446.639,0.8,0.0001411849085026135,0.00015611573306576756,0.00034162783922067364,0.00031877458420908597,0.00039214568000275896,0.0003621693709023205,0.0002946720996961616,0.0002123861125762292
6.30957344480193,0.5002699466154767,1.18,426.558,0.8,0.00010418094121446865,0.00011952167552061516,0.0002688767525012652,0.00026759850816288603,0.0003384133094418719,0.00031835503192961643,0.0002590234107147617,0.00018498057106620903
7.943282347242822,0.5002699466154767,1.167,405.602,0.8,7.478048486302275e-05,8.983522765270956e-05,0.00020775584644131033,0.00022053813009765216,0.0002893659561008882,0.0002798412414125479,0.00022559995967879695,0.00016111134224795147
10.0,0.5002699466154767,1.154,383.227,0.8,5.173545544857395e-05,6.628979449954522e-05,0.00015615405055141937,0.0001751796635698621,0.00024515877072767736,0.00024149698811950672,0.0001964893507757922,0.0001403221130269184
12.589254117941662,0.5002699466154767,1.141,362.64,0.8,3.6123371433885134e-05,4.846705959470157e-05,0.00011417032940238796,0.00013787441665286378,0.00020580097837016786,0.00020840672009746919,0.0001711350703398234,0.00012221545131214787
15.848931924611142,0.5002699466154767,1.129,345.76,0.8,2.6169069265852067e-05,3.6094968961381296e-05,8.424676902125501e-05,0.00010751862157673268,0.000175973566083431,0.00018319419962454698,0.00015043158024814228,0.0001084241723955048
19.952623149688787,0.5002699466154767,1.117,331.499,0.8,1.9488942609640557e-05,2.712980503025073e-05,6.159610548863954e-05,8.384625854749194e-05,0.00015186141250405426,0.0001610318264227887,0.00013345628081751023,9.618915639091229e-05
25.118864315095824,0.5002699466154767,1.104,318.672,0.8,1.4648335445612794e-05,2.0770486677323908e-05,4.545202679954548e-05,6.599084477149006e-05,0.00013226576101033245,0.00014286035294043022,0.00011839654187148046,8.692128055044013e-05
31.62277660168379,0.5002699466154767,1.092,306.678,0.8,1.1111898780546965e-05,1.6048951798557124e-05,3.4162783922067365e-05,5.2418391235301824e-05,0.00011519866203783226,0.00012673942099296776,0.00010600809195464077,7.854636942467365e-05
39.81071705534969,0.5002699466154767,1.078,295.125,0.8,8.275386312680294e-06,1.2515455854851264e-05,2.567753051922291e-05,4.202267437141454e-05,0.00010033384024660752,0.00011140680482292752,9.491591039932688e-05,7.097838539340374e-05
50.118723362727245,0.5002699466154767,1.064,283.917,0.8,6.162944783476997e-06,9.850236836675536e-06,1.9478398834009972e-05,3.337979675183897e-05,8.738712169526527e-05,9.883521668059973e-05,8.49843618616194e-05,6.413958060640803e-05
63.09573444801929,0.5002699466154767,1.05,273.141,0.8,4.505969800550288e-06,7.752587429805062e-06,1.4373192895757714e-05,2.627142849441299e-05,7.54132113741155e-05,8.687838091810675e-05,7.609200323361085e-05,5.849599274478621e-05
79.43282347242821,0.5002699466154767,1.035,262.843,0.8,3.264286558530555e-06,6.045701112226113e-06,1.0222409021808898e-05,1.99289165198444e-05,6.448332675774269e-05,7.566790653400602e-05,6.813009863546076e-05,5.384261147121503e-05
100.0,0.5002699466154767,1.019,253.05,0.8,2.3430862567870717e-06,4.628568257919905e-06,6.943097341711295e-06,1.4437223772307818e-05,5.463204218414546e-05,6.470110811089803e-05,6.0442026605188344e-05,4.9559408670752306e-05
