name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_measurement_type,radius_measurement_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names,star_aliases
2M1510 B,Confirmed,33.21,0.7,0.7,,,,,,,20.90769,0.00028,0.00028,,,,0.36,0.007,0.007,88.5,0.1,0.1,,2020,2025-04-18,284.36,0.11,0.11,2459070.5601,0.07,0.07,,,,,,,,,,,,,,,,,,,16.79,0.01,0.01,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,,2MASS J15104786-2818174 B,,,227.69940541649,-28.30486663737,,,,,,140.26,10.38,10.38,,,,,,,,,,,,,,,,,,,,"2MASSW J1510478-281817, 2MASS J15104786-2818174, TIC 61253912, WISEA J151047.76-281818.0, Gaia DR3 6212595980928732032, DENIS J151047.8-281817, 2MUCD 20604, WISE J151047.77-281817.9, Gaia DR2 6212595980928732032"
2M1510 C,Confirmed,37.5,2.8,2.9,,,,1.57,,,,,,250.0,,,,,,,,,,2020,2025-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,2657.0,51.0,51.0,,,,,,,Published in a refereed paper,Imaging,Spectrum,,"2MASS J15104761-2818234, 2MASS J15104786-2818174 C",,,227.6991666826,-28.304722232,,,,,,36.6,0.3,0.3,,,,,,,,,,,,,,,,,,,,"2MASSW J1510478-281817, 2MASS J15104786-2818174, TIC 61253912, WISEA J151047.76-281818.0, Gaia DR3 6212595980928732032, DENIS J151047.8-281817, 2MUCD 20604, WISE J151047.77-281817.9, Gaia DR2 6212595980928732032"
2MASS J0001+1535,Confirmed,33.0,4.0,4.0,,,,1.22,0.02,0.02,,,,,,,,,,,,,,2022,2024-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,1725.0,5.0,5.0,,,,,,4.73,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J00011217+1535355,,,0.300687111371219,15.5932068139479,,,,,,31.6163,1.8013,1.8013,,,,,,,,,,,,,,,,,,,,"2MASSW J1510478-281817, 2MASS J15104786-2818174, TIC 61253912, WISEA J151047.76-281818.0, Gaia DR3 6212595980928732032, DENIS J151047.8-281817, 2MUCD 20604, WISE J151047.77-281817.9, Gaia DR2 6212595980928732032"
2MASS J0004-6410,Confirmed,19.18,6.41,6.41,,,,,,,,,,,,,,,,,,,,2010,2024-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,1896.0,77.0,77.0,,,,,,,Published in a refereed paper,Imaging,Spectrum,,2MASS J00040288-6410358,,,1.012006,-64.176613,,,,,,47.4,3.2,3.2,,,,,,,,,,,,,,,,,,,,"2MASSW J1510478-281817, 2MASS J15104786-2818174, TIC 61253912, WISEA J151047.76-281818.0, Gaia DR3 6212595980928732032, DENIS J151047.8-281817, 2MUCD 20604, WISE J151047.77-281817.9, Gaia DR2 6212595980928732032"
2MASS J0010+1715 b,Confirmed,57.5,7.5,7.5,,,,,,,,,,739.0,,,,,,,,,,2024,2024-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,2MASS J00103250+1715490 b,,2MASS J0010+1715,2.635,17.25,10.0,,,,,40.877,0.2,0.2,,,,,,,,,,M8e D,,,,,,,,,2MASS J00103250+1715490,"2MASS J00103250+1715490, 2MASSI J0010325+171549, TIC 357393925, Gaia DR3 2796755129742387968, Gaia DR2 2796755129742387968"
2MASS J0019-6226,Confirmed,14.88,4.51,4.51,,,,,,,,,,,,,,,,,,,,2015,2024-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,"2MASS J00191296-6226005, HIP 1481 (ABC)b",,HIP 1481 A,4.608333342,-63.477500018,7.46,,,,,40.82,,,,,,1.17,0.16,0.16,1.11,0.05,0.05,F8V,0.045,,,6147.0,126.66,126.66,,,HD 1466,"HD 1466, HIP 1481, 2MASS J00182612-6328389, TYC 8843-1330-1, SAO 248159, TIC 425934574, WISEA J001826.27-632839.6, 1SWASP J001826.12-632838.9, Gaia DR3 4901229043960053248, CD-64 6, CPC 20.1 56, CPD-64 17, GSC 08843-01330, HIC 1481, PPM 351744, RBS 41, SKY# 542, TD1 153, uvby98 100001466, 1RXS J001826.2-632837, WISE J001826.25-632839.6, Gaia DR1 4901229039663980800, GEN# +1.00001466, Gaia DR2 4901229043960053248"
2MASS J0021-4514 b,Confirmed,30.0,,,,,,,,,,,,3900.0,,,,,,,,,,2024,2024-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,"CWISE J002159.02-451434.4, 2MASS J00215427-4514590 b",,2MASS J0021-4514,5.476125,-45.24979722222222,,,9.015,8.593,8.583,54.5012,0.21395,0.21395,,,,0.189,0.02,0.02,0.2198,0.00673,0.00673,M5.5V,,,,3182.0,157.0,157.0,,,"WISEA J002154.47-451500.2, TIC 7151346, 2MASS J00215427-4514590, LEHPM 503","LEHPM 503, 2MASS J00215427-4514590, TIC 7151346, Gaia DR3 4990729737137865856, WISEA J002154.47-451500.2, Gaia DR2 4990729737137865856"
2MASS J0030-1450,Confirmed,10.0,2.0,2.0,,,,1.36,0.04,0.04,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1264.0,78.0,78.0,,,,,,4.12,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J0030300-145033,,,7.62555101004408,-14.842610024088,,,,,,26.7,3.3,3.3,,,,,,,,,,,,,,,,,,,,"LEHPM 503, 2MASS J00215427-4514590, TIC 7151346, Gaia DR3 4990729737137865856, WISEA J002154.47-451500.2, Gaia DR2 4990729737137865856"
2MASS J0031+5749,Confirmed,24.0,7.0,7.0,,,,1.2,0.06,0.06,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1343.0,58.0,58.0,,,,,,4.6,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J00310928+5749364,,,7.788700003096,57.82679724666,,,,,,11.6,1.4,1.4,,,,,,,,,,,,,,,,,,,,"LEHPM 503, 2MASS J00215427-4514590, TIC 7151346, Gaia DR3 4990729737137865856, WISEA J002154.47-451500.2, Gaia DR2 4990729737137865856"
2MASS J0033-1521,Confirmed,29.05,18.53,18.53,,,,1.43,0.22,0.22,,,,,,,,,,,,,,2003,2024-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,1887.0,175.0,175.0,,,,,,,Published in a refereed paper,Imaging,,,2MASS J00332386-1521309,,,8.3494669873475,-15.358582979053612,,,,,,39.0,,,,,,,,,,,,,,,,,,,,,,"LEHPM 503, 2MASS J00215427-4514590, TIC 7151346, Gaia DR3 4990729737137865856, WISEA J002154.47-451500.2, Gaia DR2 4990729737137865856"
